"_oid","_parent_oid","_last_modified","file_class","file_creationInfo_agencyID","file_creationInfo_agencyURI_resourceID","file_creationInfo_agencyURI_used","file_creationInfo_author","file_creationInfo_authorURI_resourceID","file_creationInfo_authorURI_used","file_creationInfo_creationTime","file_creationInfo_creationTime_ms","file_creationInfo_version","file_creationInfo_used","file_description","file_filename","file_type","file_url"
106175,1,2017-03-20 12:59:40,picture,,,0,,,0,,,,0,The station has real time communication. GPS - antenna [left] and UMTS- modem antenna [right] are installed next to the solar panels on the front side,DSCF2817.jpg,image/jpeg,/stationbook-files/Z3/A015A/DSCF2817.jpg
106178,1,2017-03-20 14:36:17,picture,,,0,,,0,,,,0,Sensor is installed directly on the ground in the basement of the building using the standard Nanometrics insulation case,DSCF2679.jpg,image/jpeg,/stationbook-files/Z3/A025A/DSCF2679.jpg
106180,1,2017-03-21 12:05:43,picture,,,0,,,0,,,,0,The station is standing in the building on the left,DSCF2665.jpg,image/jpeg,/stationbook-files/Z3/A025A/DSCF2665.jpg
106182,1,2017-03-21 12:08:40,picture,,,0,,,0,,,,0,The station has real time communication. UMTS- modem antenna in the picture,DSCF2667.jpg,image/jpeg,/stationbook-files/Z3/A025A/DSCF2667.jpg
106186,1,2017-03-20 15:13:29,picture,,,0,,,0,,,,0,Sensor is installed directly on the ground in a corner of the building using the standard Nanometrics insulation case,DSCF2697.jpg,image/jpeg,/stationbook-files/Z3/A027A/DSCF2697.jpg
106188,1,2017-03-21 12:26:53,picture,,,0,,,0,,,,0,The station has real time communication. GPS - antenna [left] and UMTS- modem antenna [right].,DSCF2688.jpg,image/jpeg,/stationbook-files/Z3/A027A/DSCF2688.jpg
106191,1,2017-03-20 15:26:09,picture,,,0,,,0,,,,0,Sensor is installed directly on the ground in a corner of the building using the standard Nanometrics insulation case,DSCF2680.jpg,image/jpeg,/stationbook-files/Z3/A028A/DSCF2680.jpg
106193,1,2017-03-20 15:27:38,picture,,,0,,,0,,,,0,The station is installed inside this building ,DSCF2685.jpg,image/jpeg,/stationbook-files/Z3/A028A/DSCF2685.jpg
106195,1,2017-03-20 15:30:42,picture,,,0,,,0,,,,0,The station has real time communication. GPS - antenna [right] and UMTS- modem antenna [left] are installed,DSCF2683.jpg,image/jpeg,/stationbook-files/Z3/A028A/DSCF2683.jpg
106198,1,2017-03-20 15:39:59,picture,,,0,,,0,,,,0,Sensor is installed directly on the ground in the right part of the hut using the standard Nanometrics insulation case,DSCF2769.jpg,image/jpeg,/stationbook-files/Z3/A029A/DSCF2769.jpg
106200,1,2017-03-21 12:28:29,picture,,,0,,,0,,,,0,The station has real time communication. GPS - antenna [down] and UMTS- modem antenna [up] are installed,DSCF2761.jpg,image/jpeg,/stationbook-files/Z3/A029A/DSCF2761.jpg
106202,1,2017-03-20 15:43:20,picture,,,0,,,0,,,,0,The station is installed inside this building,DSCF2778.jpg,image/jpeg,/stationbook-files/Z3/A029A/DSCF2778.jpg
106205,1,2017-03-20 15:47:55,picture,,,0,,,0,,,,0,Sensor is installed directly on the ground in a corner of the building using the standard Nanometrics insulation case,DSCF2758.jpg,image/jpeg,/stationbook-files/Z3/A034A/DSCF2758.jpg
106207,1,2017-03-20 15:49:50,picture,,,0,,,0,,,,0,The station has real time communication. GPS - antenna [left] and UMTS- modem antenna [right] are installed,DSCF2753.jpg,image/jpeg,/stationbook-files/Z3/A034A/DSCF2753.jpg
106209,1,2017-03-21 12:18:05,picture,,,0,,,0,,,,0,The sensor is placed on a ~10cm high pedestal on rock,DSCF2734.jpg,image/jpeg,/stationbook-files/Z3/A026A/DSCF2734.jpg
106211,1,2017-03-21 12:21:27,picture,,,0,,,0,,,,0,Sensor is installed in a manmade dead tunnel.,DSCF2733.jpg,image/jpeg,/stationbook-files/Z3/A026A/DSCF2733.jpg
106214,1,2017-03-25 16:13:12,picture,,,0,,,0,,,,0,Sensor is installed directly on the ground in a building using the standard Nanometrics insulation case,DSCF7014.JPG,image/jpeg,/stationbook-files/Z3/A023A/DSCF7014.JPG
